[2020-06-18 14:59:59.094] ,1012,968,d
[2020-06-18 14:59:59.095] ,1011,953,d
[2020-06-18 14:59:59.095] ,1012,983,d
[2020-06-18 15:00:04.220] ,1012,980,d
[2020-06-18 15:00:10.024] ,1013,975,d
[2020-06-18 15:00:15.830] ,1013,970,d
[2020-06-18 15:00:21.632] ,1013,971,d
[2020-06-18 15:00:27.435] ,1015,969,d
[2020-06-18 15:00:33.234] ,1017,967,d
[2020-06-18 15:00:39.039] ,1017,968,d
[2020-06-18 15:00:44.842] ,1016,966,d
[2020-06-18 15:00:50.645] ,1012,933,d
[2020-06-18 15:00:56.450] ,1010,937,d
[2020-06-18 15:01:02.252] ,1012,940,d
[2020-06-18 15:01:06.056] ,1013,945,d
[2020-06-18 15:01:13.860] ,1008,924,d
[2020-06-18 15:01:19.665] ,1007,595,d
[2020-06-18 15:01:25.464] ,771,767,m
[2020-06-18 15:01:31.268] ,741,748,m
[2020-06-18 15:01:37.071] ,752,722,m
[2020-06-18 15:01:42.875] ,733,813,m
[2020-06-18 15:01:48.679] ,731,767,m
[2020-06-18 15:01:54.482] ,249,261,w
[2020-06-18 15:02:00.285] ,325,344,w
[2020-06-18 15:02:06.090] ,1011,991,d
[2020-06-18 15:02:11.889] ,1010,487,d
[2020-06-18 15:02:17.693] ,1012,572,d
[2020-06-18 15:02:23.496] ,1018,1016,d
[2020-06-18 15:02:29.299] ,1016,1023,d
[2020-06-18 15:02:35.104] ,511,1018,d
[2020-06-18 15:02:40.907] ,1014,1020,d
[2020-06-18 15:02:46.712] ,1011,1016,d
[2020-06-18 15:02:52.514] ,1010,1013,d
[2020-06-18 15:02:58.317] ,1011,1014,d
[2020-06-18 15:03:04.122] ,1012,1016,d
[2020-06-18 15:03:09.922] ,897,508,m
[2020-06-18 15:03:15.725] ,781,534,m
[2020-06-18 15:03:21.528] ,746,512,m
[2020-06-18 15:03:27.333] ,306,255,w
[2020-06-18 15:03:33.136] ,198,175,w
[2020-06-18 15:03:38.940] ,490,457,w
[2020-06-18 15:03:44.744] ,788,514,m
[2020-06-18 15:03:50.546] ,959,1016,d
[2020-06-18 15:03:56.350] ,976,1016,d
[2020-06-18 15:04:02.149] ,983,1015,d
[2020-06-18 15:04:07.954] ,976,1016,d
[2020-06-18 15:04:13.758] ,971,1015,d
[2020-06-18 15:04:19.560] ,973,1015,d
[2020-06-18 15:04:25.365] ,976,1016,d
[2020-06-18 15:04:31.169] ,978,1016,d
[2020-06-18 15:04:36.971] ,981,1016,d
[2020-06-18 15:04:42.776] ,985,1016,d
[2020-06-18 15:04:48.579] ,976,1023,d
[2020-06-18 15:04:54.379] ,981,996,d
[2020-06-18 15:05:00.182] ,983,466,d
[2020-06-18 15:05:05.987] ,984,897,d
[2020-06-18 15:05:11.790] ,984,1007,d
[2020-06-18 15:05:17.594] ,980,1005,d
[2020-06-18 15:05:23.397] ,982,1007,d
[2020-06-18 15:05:29.202] ,984,1007,d
[2020-06-18 15:05:35.004] ,986,1009,d
[2020-06-18 15:05:40.809] ,990,1013,d
[2020-06-18 15:05:46.606] ,994,1018,d
[2020-06-18 15:05:52.412] ,994,1019,d
[2020-06-18 15:05:58.216] ,993,1018,d
[2020-06-18 15:06:04.018] ,992,1018,d
[2020-06-18 15:06:09.823] ,991,1018,d
[2020-06-18 15:06:15.626] ,992,1019,d
[2020-06-18 15:06:21.430] ,991,1019,d
[2020-06-18 15:06:27.234] ,991,1018,d
[2020-06-18 15:06:33.037] ,991,1019,d
[2020-06-18 15:06:38.841] ,990,1018,d
[2020-06-18 15:06:44.641] ,987,1015,d
[2020-06-18 15:06:50.444] ,983,1009,d
[2020-06-18 15:06:56.248] ,983,1008,d
[2020-06-18 15:07:02.051] ,985,1009,d
[2020-06-18 15:07:07.855] ,986,1010,d
[2020-06-18 15:07:13.659] ,988,1012,d
[2020-06-18 15:07:19.462] ,992,1017,d
[2020-06-18 15:07:25.266] ,994,1022,d
[2020-06-18 15:07:31.070] ,993,1022,d
[2020-06-18 15:07:36.870] ,992,1021,d
[2020-06-18 15:07:42.673] ,991,1021,d
[2020-06-18 15:07:48.477] ,992,1021,d
[2020-06-18 15:07:54.281] ,992,1022,d
[2020-06-18 15:08:00.084] ,994,1021,d
[2020-06-18 15:08:05.888] ,993,1018,d
[2020-06-18 15:08:11.690] ,990,1014,d
[2020-06-18 15:08:17.495] ,988,1011,d
[2020-06-18 15:08:23.299] ,986,1010,d
[2020-06-18 15:08:29.102] ,987,1011,d
[2020-06-18 15:08:34.902] ,985,1009,d
[2020-06-18 15:08:40.704] ,988,1015,d
[2020-06-18 15:08:46.509] ,993,1021,d
[2020-06-18 15:08:52.312] ,994,1020,d
[2020-06-18 15:08:58.116] ,991,1016,d
[2020-06-18 15:09:03.920] ,988,1012,d
[2020-06-18 15:09:09.724] ,986,1010,d
[2020-06-18 15:09:15.527] ,986,1009,d
[2020-06-18 15:09:21.331] ,984,1006,d
[2020-06-18 15:09:27.130] ,986,1011,d
[2020-06-18 15:09:32.935] ,990,1017,d
[2020-06-18 15:09:38.738] ,994,1023,d
[2020-06-18 15:09:44.541] ,995,1021,d
[2020-06-18 15:09:50.345] ,991,1016,d
[2020-06-18 15:09:56.149] ,989,1012,d
[2020-06-18 15:10:01.952] ,987,1010,d
[2020-06-18 15:10:07.756] ,986,1009,d
[2020-06-18 15:10:13.559] ,986,1009,d
[2020-06-18 15:10:19.359] ,986,1011,d
[2020-06-18 15:10:25.163] ,990,1016,d
[2020-06-18 15:10:30.966] ,995,1023,d
[2020-06-18 15:10:36.770] ,994,1019,d
[2020-06-18 15:10:42.574] ,988,1011,d
[2020-06-18 15:10:48.378] ,986,1006,d
[2020-06-18 15:10:54.181] ,993,1020,d
[2020-06-18 15:10:59.985] ,994,1018,d
[2020-06-18 15:11:05.788] ,988,1010,d
[2020-06-18 15:11:11.592] ,986,1009,d
[2020-06-18 15:11:17.393] ,993,1019,d
[2020-06-18 15:11:23.195] ,995,1018,d
[2020-06-18 15:11:28.999] ,989,1010,d
[2020-06-18 15:11:34.803] ,986,1009,d
[2020-06-18 15:11:40.606] ,995,1021,d
[2020-06-18 15:11:46.410] ,989,1010,d
[2020-06-18 15:11:52.214] ,987,1010,d
[2020-06-18 15:11:58.018] ,995,1021,d
[2020-06-18 15:12:03.822] ,989,1011,d
[2020-06-18 15:12:09.621] ,986,1008,d
[2020-06-18 15:12:15.424] ,990,1014,d
[2020-06-18 15:12:21.228] ,993,1017,d
[2020-06-18 15:12:27.031] ,990,1010,d
[2020-06-18 15:12:32.835] ,987,1007,d
[2020-06-18 15:12:38.639] ,989,1012,d
[2020-06-18 15:12:44.443] ,995,1018,d
[2020-06-18 15:12:50.245] ,992,1012,d
